# Y-M-D   T H:M:S     ObsNum  ObsGoal      ObgPgm    SourceName                ProjectId                      RestFreq  VLSR      TINT   RA        DEC          AZ    EL
2020-03-13T01:57:25    92568  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  204.7  64.3  432 0
2020-03-13T02:20:35    92571  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  215.5  61.6  432 0
2020-03-13T02:21:01    92572  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  216.0  61.5  432 0
2020-03-13T02:39:08    92573  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  223.3  58.7  432 0
2020-03-13T02:39:33    92574  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  223.4  58.6  432 0
2020-03-13T03:03:17    92577  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  230.9  54.7  432 0
2020-03-13T03:03:44    92578  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.1  152.783750  -4.704639  231.3  54.4  432 0
2020-03-13T03:21:59    92579  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  236.1  50.9  432 0
2020-03-13T03:22:25    92580  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  236.2  50.9  432 0
2020-03-13T03:44:20    92583  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  241.0  46.5  432 0
2020-03-13T03:44:48    92584  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.1  152.783750  -4.704639  241.2  46.3  432 0
2020-03-13T04:02:30    92585  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  244.5  42.6  432 0
2020-03-13T04:02:56    92586  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  244.6  42.5  432 0
2020-03-13T04:24:28    92589  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  248.0  37.8  432 0
2020-03-13T04:24:56    92590  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  248.1  37.7  432 0

2020-03-17T23:29:22    92667  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  135.2  58.0  432 0
2020-03-17T23:29:48    92668  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.1  152.783750  -4.704639  135.7  58.3  432 0
